Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 13.5977, relres: 0.265145, relerr: 1.38574
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 13.5818, relres: 0.222987, relerr: 1.17359
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 13.5617, relres: 0.220569, relerr: 1.48843
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 13.5544, relres: 0.252831, relerr: 1.44019
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 13.6834, relres: 0.186551, relerr: 1.05063
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 13.5448, relres: 0.255311, relerr: 1.14358
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 13.6137, relres: 0.205979, relerr: 0.99478
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 13.6123, relres: 0.214133, relerr: 1.38541
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 13.7385, relres: 0.201844, relerr: 1.01099
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 13.6739, relres: 0.214076, relerr: 1.0162
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 13.5446, relres: 0.207319, relerr: 1.08374
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 13.5066, relres: 7.89758e-05, relerr: 0.000336539
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 14.5766, relres: 0.207868, relerr: 1.29
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 14.5315, relres: 0.196363, relerr: 0.927368
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 16.2885, relres: 0.200026, relerr: 1.1198
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 16.4997, relres: 0.230119, relerr: 1.24703
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 16.1718, relres: 0.217723, relerr: 1.37352
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 16.1825, relres: 0.209657, relerr: 1.25654
Block Kaczmarz-32 -> gaussian, complex, eig_init, n: 256, m: 674, iter: 300, t: 14.9034, relres: 0.187356, relerr: 1.01931
