Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 15.1077, relres: 0.191625, relerr: 1.29039
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.7515, relres: 0.182845, relerr: 1.37869
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.8585, relres: 0.202246, relerr: 1.57688
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.1937, relres: 0.204607, relerr: 1.50222
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.715, relres: 0.179768, relerr: 1.30941
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.1949, relres: 0.212799, relerr: 1.51989
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.5591, relres: 0.213481, relerr: 1.51023
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.2037, relres: 0.194606, relerr: 1.3868
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.4875, relres: 0.213598, relerr: 1.50306
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.566, relres: 0.237001, relerr: 1.36816
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.6538, relres: 0.187017, relerr: 1.5368
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.7087, relres: 0.223336, relerr: 1.45843
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 15.1744, relres: 0.174542, relerr: 1.46114
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.3235, relres: 0.186756, relerr: 1.46247
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 15.0246, relres: 0.189967, relerr: 1.50493
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.3971, relres: 0.197484, relerr: 1.44884
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.8061, relres: 0.195184, relerr: 1.33723
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 674, iter: 500, t: 14.6914, relres: 0.202607, relerr: 1.4028
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 728, iter: 500, t: 15.9147, relres: 0.229016, relerr: 1.52564
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 728, iter: 500, t: 17.4885, relres: 0.249995, relerr: 1.42812
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 728, iter: 500, t: 14.6934, relres: 0.23363, relerr: 1.18578
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 728, iter: 500, t: 16.1778, relres: 0.243565, relerr: 1.45272
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 728, iter: 500, t: 15.775, relres: 0.234745, relerr: 1.49758
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 728, iter: 500, t: 15.8261, relres: 0.248722, relerr: 1.32013
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 728, iter: 500, t: 15.9363, relres: 0.261166, relerr: 1.37117
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 728, iter: 500, t: 17.4522, relres: 0.261569, relerr: 1.46356
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 728, iter: 500, t: 15.9478, relres: 0.239677, relerr: 1.4188
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 728, iter: 500, t: 16.1985, relres: 0.257856, relerr: 1.28502
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 728, iter: 500, t: 16.2508, relres: 0.237849, relerr: 1.21583
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 728, iter: 500, t: 17.6759, relres: 0.276983, relerr: 1.49678
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 728, iter: 500, t: 15.8507, relres: 0.223177, relerr: 1.30385
Kaczmarz -> gaussian, complex, rand_init, n: 256, m: 728, iter: 500, t: 16.3526, relres: 0.248732, relerr: 1.55997
