Wirtinger -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 2.30839, relres: 0.383232, relerr: 0.745842
Wirtinger -> gaussian, real, eig_init, n: 256, m: 728, iter: 687, t: 0.72032, relres: 9.84976e-09, relerr: 3.61776e-08
Wirtinger -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 2.22698, relres: 0.402869, relerr: 0.54047
Wirtinger -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 2.21366, relres: 0.306953, relerr: 0.103116
Wirtinger -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 2.27733, relres: 0.268046, relerr: 0.0683565
Wirtinger -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 2.29833, relres: 0.218543, relerr: 0.0575758
Wirtinger -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 2.25385, relres: 0.263302, relerr: 0.0653994
Wirtinger -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 2.27601, relres: 0.262471, relerr: 0.17831
Wirtinger -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 2.32217, relres: 0.230831, relerr: 0.154309
Wirtinger -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 2.31728, relres: 0.190846, relerr: 0.068336
Wirtinger -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 2.32275, relres: 0.288758, relerr: 0.0756144
