GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.20422, relres: 0.706792, relerr: 0.978899
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.19771, relres: 0.693037, relerr: 1.05209
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.21306, relres: 0.556345, relerr: 0.971354
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.17504, relres: 0.410246, relerr: 0.672568
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.21209, relres: 0.470053, relerr: 0.830054
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.18668, relres: 0.427969, relerr: 0.639289
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.22722, relres: 0.584954, relerr: 0.760424
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.22767, relres: 0.434333, relerr: 0.661192
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.21525, relres: 0.553576, relerr: 0.866337
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.21234, relres: 0.624523, relerr: 0.808495
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.23149, relres: 0.433078, relerr: 0.626341
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.21861, relres: 0.836118, relerr: 0.98105
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.23446, relres: 0.465085, relerr: 0.82286
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.17625, relres: 0.512975, relerr: 0.766405
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.2151, relres: 0.377361, relerr: 0.576764
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.2398, relres: 0.452115, relerr: 0.712144
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.12799, relres: 0.385517, relerr: 0.691749
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.25463, relres: 0.412345, relerr: 0.670758
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.2216, relres: 0.493512, relerr: 0.754271
GerSax -> gaussian, real, eig_init, n: 256, m: 728, iter: 2500, t: 1.19995, relres: 0.718597, relerr: 1.01485
