GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 21.0467, relres: 0.148526, relerr: 1.35046
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 1511, t: 9.85552, relres: 9.96596e-09, relerr: 7.95078e-08
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 20.6843, relres: 0.0200512, relerr: 0.124068
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 20.2343, relres: 0.129745, relerr: 1.35839
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 20.0839, relres: 0.114106, relerr: 1.00014
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 20.3359, relres: 0.0877013, relerr: 0.793665
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 19.5945, relres: 0.101968, relerr: 1.0049
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 20.9938, relres: 0.133365, relerr: 1.23909
GerSax -> gaussian, complex, eig_init, n: 256, m: 674, iter: 2500, t: 18.8009, relres: 0.110687, relerr: 1.07664
GerSax -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2052, t: 17.2855, relres: 9.76665e-09, relerr: 5.27092e-08
GerSax -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 23.3034, relres: 0.170616, relerr: 1.21166
GerSax -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 23.4992, relres: 0.174676, relerr: 1.39099
GerSax -> gaussian, complex, eig_init, n: 256, m: 728, iter: 1172, t: 10.0143, relres: 9.91476e-09, relerr: 5.64731e-08
GerSax -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 22.1024, relres: 0.150775, relerr: 1.14115
GerSax -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 21.8852, relres: 0.161735, relerr: 1.19074
GerSax -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 20.7557, relres: 0.106699, relerr: 0.79137
GerSax -> gaussian, complex, eig_init, n: 256, m: 728, iter: 1541, t: 11.6203, relres: 9.9285e-09, relerr: 5.66049e-08
GerSax -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2006, t: 14.5733, relres: 9.96193e-09, relerr: 5.59245e-08
GerSax -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 21.1819, relres: 0.168875, relerr: 1.33652
GerSax -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2437, t: 19.3097, relres: 9.72295e-09, relerr: 5.04127e-08
GerSax -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2393, t: 21.2252, relres: 9.87984e-09, relerr: 5.52956e-08
GerSax -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 21.0651, relres: 0.116229, relerr: 0.871622
GerSax -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 22.0628, relres: 0.121137, relerr: 0.819032
GerSax -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 19.6869, relres: 0.1783, relerr: 1.28483
GerSax -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 20.8214, relres: 0.0978301, relerr: 0.614058
GerSax -> gaussian, complex, eig_init, n: 256, m: 728, iter: 1178, t: 8.79531, relres: 9.81724e-09, relerr: 5.99502e-08
GerSax -> gaussian, complex, eig_init, n: 256, m: 728, iter: 2500, t: 20.8243, relres: 0.000265145, relerr: 0.00135881
GerSax -> gaussian, complex, eig_init, n: 256, m: 728, iter: 1781, t: 15.237, relres: 9.81096e-09, relerr: 5.12624e-08
